group,scene_id,method,score,late_coverage
waterdrop,waterdrop_expansion_wdgen005,object_only,0.65224349,0.00000000
waterdrop,waterdrop_expansion_wdgen005,soft_product,0.64843512,0.00000000
waterdrop,waterdrop_expansion_wdgen005,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_expansion_wdgen006,motion_only,0.99972862,1.00000000
waterdrop,waterdrop_expansion_wdgen006,object_only,0.59520304,0.01388889
waterdrop,waterdrop_expansion_wdgen006,soft_product,0.59065270,0.01388889
waterdrop,waterdrop_expansion_wdgen006,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_expansion_wdgen008,motion_only,0.99967927,1.00000000
waterdrop,waterdrop_expansion_wdgen008,object_only,0.28365749,0.00000000
waterdrop,waterdrop_expansion_wdgen008,soft_product,0.28020224,0.00000000
waterdrop,waterdrop_expansion_wdgen008,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_expansion_wdgen014,motion_only,0.99927431,1.00000000
waterdrop,waterdrop_expansion_wdgen014,object_only,0.65464836,0.02083333
waterdrop,waterdrop_expansion_wdgen014,soft_product,0.64911532,0.01388889
waterdrop,waterdrop_expansion_wdgen014,gated_cone,0.00000000,0.00000000
other_ball,other_ball_005,motion_only,0.99987417,1.00000000
other_ball,other_ball_005,object_only,0.90788090,0.72868216
other_ball,other_ball_005,soft_product,0.90574467,0.71317828
other_ball,other_ball_005,gated_cone,1.00000000,0.53488374
other_ball,other_ball_006,motion_only,0.99983996,1.00000000
other_ball,other_ball_006,object_only,0.71592152,0.07971015
other_ball,other_ball_006,soft_product,0.70996565,0.07971015
other_ball,other_ball_006,gated_cone,0.00000000,0.00000000
other_ball,other_ball_007,motion_only,0.99983990,1.00000000
other_ball,other_ball_007,object_only,0.80365270,0.31250000
other_ball,other_ball_007,soft_product,0.80131292,0.31250000
other_ball,other_ball_007,gated_cone,0.00000000,0.00000000
negation,red_ball_negation_001,motion_only,0.09190035,0.00000000
negation,red_ball_negation_001,object_only,0.54203624,0.02083333
negation,red_ball_negation_001,soft_product,0.00492363,0.00000000
negation,red_ball_negation_001,gated_cone,0.00000000,0.00000000
negation,red_ball_negation_003,motion_only,0.14730605,0.00000000
negation,red_ball_negation_003,object_only,0.72270447,0.09027778
negation,red_ball_negation_003,soft_product,0.04322300,0.00000000
negation,red_ball_negation_003,gated_cone,0.00000000,0.00000000
