sample_id,mechanism,generalization_group,baseline,mean_rgb,spatial_std,dark_pixel_fraction,saturated_pixel_fraction,temporal_frame_mae,early_mae_vs_original,late_mae_vs_original,quality_collapse,video_path
eval_powder_impact_unseen_seen_00,powder_impact,unseen_seen,original,171.3331,66.1210,0.025976,0.045618,3.6886,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_seen_00.mp4
eval_powder_impact_unseen_seen_00,powder_impact,unseen_seen,negative_prompt,173.3294,68.6409,0.056988,0.048614,4.7313,9.3924,18.6293,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_seen_00.mp4
eval_powder_impact_unseen_seen_00,powder_impact,unseen_seen,t2vunlearning_adapted,152.8330,61.2043,0.013127,0.000186,3.5733,29.8548,29.7203,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_seen_00.mp4
eval_powder_impact_unseen_seen_00,powder_impact,unseen_seen,videoeraser_official,180.2036,75.8963,0.091618,0.241541,6.2424,42.7791,57.0152,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_seen_00.mp4
eval_powder_impact_unseen_seen_01,powder_impact,unseen_seen,original,163.1770,81.2762,0.126793,0.006918,1.5439,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_seen_01.mp4
eval_powder_impact_unseen_seen_01,powder_impact,unseen_seen,negative_prompt,163.1027,78.7726,0.094793,0.007569,2.6439,11.7150,19.5888,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_seen_01.mp4
eval_powder_impact_unseen_seen_01,powder_impact,unseen_seen,t2vunlearning_adapted,146.5941,64.8551,0.067490,0.000012,1.9232,28.8111,37.5583,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_unseen_seen_01.mp4
eval_powder_impact_unseen_seen_01,powder_impact,unseen_seen,videoeraser_official,183.9456,75.4911,0.093679,0.310289,2.9066,50.6854,64.6290,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_unseen_seen_01.mp4
eval_powder_impact_unseen_seen_02,powder_impact,unseen_seen,original,130.0007,65.9369,0.137143,0.000226,1.9194,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_unseen_seen_02.mp4
eval_powder_impact_unseen_seen_02,powder_impact,unseen_seen,negative_prompt,121.8512,66.6641,0.138676,0.000000,4.3234,17.7402,30.5235,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_unseen_seen_02.mp4
